Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
46,Troy Daniels,SG,28,DEN,6,0,5,1,2,0.5,0.5,1,0.5,0.5,1,0.5,0.625,0.2,0.3,0.5,0.2,0.3,0.5,0.3,0,0,0,0.3,2.7
47,Anthony Davis,PF,26,LAL,21,21,36.6,9.8,17.1,0.571,1.1,2.9,0.383,8.7,14.2,0.609,0.603,7.1,8.5,0.832,2.6,7.1,9.7,3.5,1.2,1.4,2.5,2.7,27.7
48,Terence Davis,SG,22,TOR,6,0,14,2.3,4.8,0.483,1.3,3.2,0.421,1,1.7,0.6,0.621,1.2,1.2,1,0.3,1.8,2.2,1.2,0.2,0,1,1.8,7.2
49,Hamidou Diallo,SF,21,OKC,3,0,8.3,1.3,3.7,0.364,0.3,1.7,0.2,1,2,0.5,0.409,1.3,2.3,0.571,0.7,1.3,2,0.3,0,0.7,0.7,0,4.3
50,Donte DiVincenzo,SG,23,MIL,10,1,16.5,2.3,5.1,0.451,0.7,2.1,0.333,1.6,3,0.533,0.52,1.3,2,0.65,0.8,2.4,3.2,1.2,0.7,0.3,1,2.1,6.6
51,Luka Dončić,PG,20,DAL,6,6,35.8,10.7,21.3,0.5,2.7,7.3,0.364,8,14,0.571,0.563,7,10.7,0.656,0.7,9.2,9.8,8.7,1.2,0.5,5.2,2.8,31
52,Luguentz Dort,SF,20,OKC,6,6,29.2,4.5,12.7,0.355,2.2,8.3,0.26,2.3,4.3,0.538,0.441,1.3,2.5,0.533,0.8,2.8,3.7,1,0.3,1,2.5,4.2,12.5
53,PJ Dozier,SG,23,DEN,12,0,10.4,1.2,2.8,0.424,0.2,0.7,0.25,1,2.1,0.48,0.455,0.7,1.2,0.571,0.2,1.3,1.5,1,0.2,0.2,0.7,1.1,3.2
54,Goran Dragić,PG,33,MIA,17,16,32.5,7,15.8,0.444,2.2,6.3,0.346,4.8,9.5,0.509,0.513,2.9,3.6,0.803,0.8,3.3,4.1,4.4,1,0.1,2.3,2.9,19.1
55,Jared Dudley,PF,34,LAL,9,0,3.4,0,0.4,0,0,0.3,0,0,0.1,0,0,0,0,,0,0.2,0.2,0,0.4,0.1,0.2,0.2,0
56,Carsen Edwards,SG,21,BOS,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
57,Joel Embiid,C,25,PHI,4,4,36.3,8.5,18.5,0.459,1,4,0.25,7.5,14.5,0.517,0.486,12,14.8,0.814,2.8,9.5,12.3,1.3,1.5,1.3,3.8,4.5,30
58,James Ennis III,SG,29,ORL,5,5,23.8,2.4,7,0.343,0.8,3.2,0.25,1.6,3.8,0.421,0.4,1.4,1.8,0.778,1.2,4.6,5.8,1.2,1,0.4,1.2,3.8,7
59,Tacko Fall,C,24,BOS,2,0,1.5,0.5,0.5,1,0,0,,0.5,0.5,1,1,0.5,1,0.5,0,0.5,0.5,0,0,0,0,0,1.5
60,Terrance Ferguson,SF,21,OKC,4,1,10.5,0.5,2.8,0.182,0.5,2.5,0.2,0,0.3,0,0.273,0,0,,0.3,0.8,1,0.3,0.3,0,0.3,0.8,1.5
61,Dorian Finney-Smith,PF,26,DAL,6,6,31.8,3.8,8.7,0.442,1.8,5,0.367,2,3.7,0.545,0.548,0.7,0.8,0.8,2,3.7,5.7,3.2,1.2,0.5,1.5,3.7,10.2
62,Evan Fournier,SF,27,ORL,5,5,34.2,4,11.4,0.351,2.4,7,0.343,1.6,4.4,0.364,0.456,2.4,3.4,0.706,0.6,3.4,4,2.6,1.2,0.6,1.8,2,12.8
63,Michael Frazier,SG,25,HOU,4,0,3,0.3,1,0.25,0.3,0.5,0.5,0,0.5,0,0.375,0,0,,0.3,0.8,1,0.5,0,0,0.3,0,0.8
64,Enes Freedom,C,27,BOS,11,0,9.3,2,3.8,0.524,0.1,0.1,1,1.9,3.7,0.512,0.536,0.5,0.9,0.5,1.7,2.2,3.9,0.6,0,0,0.4,1.7,4.5
65,Markelle Fultz,PG,21,ORL,5,5,29.4,4.8,12,0.4,1.2,3.2,0.375,3.6,8.8,0.409,0.45,1.2,1.4,0.857,0,2.2,2.2,5.2,1,0.6,2.6,4,12
66,Wenyen Gabriel,PF,22,POR,4,2,13.3,2.3,3.8,0.6,0.5,1.3,0.4,1.8,2.5,0.7,0.667,0.3,0.5,0.5,1.8,0.8,2.5,1,0.5,0.5,1.3,4,5.3
67,Danilo Gallinari,PF,31,OKC,7,7,30.3,4.6,11.3,0.405,1.7,5.3,0.324,2.9,6,0.476,0.481,4.1,4.3,0.967,0.7,4.7,5.4,1,0.7,0.1,2.1,1.6,15
68,Marc Gasol,C,35,TOR,11,11,20.7,2.3,5.8,0.391,0.5,2.5,0.185,1.8,3.4,0.541,0.43,1,1.4,0.733,0.4,4,4.4,2.6,0.5,0.6,1.5,2.9,6
69,Paul George,SF,29,LAC,13,13,36.8,6.8,17,0.398,2.8,8.5,0.333,3.9,8.5,0.464,0.482,3.8,4.2,0.909,1.1,5,6.1,3.8,1.5,0.5,3.1,3.8,20.2
70,Shai Gilgeous-Alexander,SG,21,OKC,7,7,39.9,5.6,12.9,0.433,2,5,0.4,3.6,7.9,0.455,0.511,3.1,3.3,0.957,0.4,4.9,5.3,4.1,1,0.4,2.1,2.4,16.3
71,Rudy Gobert,C,27,UTA,7,7,38.6,6.9,10.6,0.649,0,0,,6.9,10.6,0.649,0.649,3.1,6,0.524,3.4,8,11.4,1.1,0.6,1.4,1.3,3.7,16.9
72,Eric Gordon,SF,31,HOU,12,12,34.2,6,14.7,0.409,2.4,7.5,0.322,3.6,7.2,0.5,0.491,2.9,3.3,0.875,0.5,2.2,2.7,3,0.8,0.6,2,2.2,17.3
73,Jerami Grant,PF,25,DEN,19,16,34.4,3.7,9.2,0.406,1.6,5,0.326,2.1,4.2,0.5,0.494,2.5,2.8,0.889,0.4,2.9,3.3,1.3,0.6,0.8,1.3,3.1,11.6
74,Danny Green,SG,32,LAL,21,21,25,2.8,8.1,0.347,1.9,5.5,0.339,1,2.6,0.364,0.462,0.5,0.7,0.667,1.2,2,3.1,1.2,1,0.8,0.6,2.3,8
75,JaMychal Green,PF,29,LAC,13,0,17.1,2.4,4.2,0.564,0.8,1.8,0.435,1.6,2.5,0.656,0.655,0.5,0.7,0.778,1,2.8,3.8,0.5,0.2,0.2,0.4,2.2,6.1
76,Javonte Green,SG,26,BOS,1,0,6,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,0,0,0,0,1,3
